Model,TDP (Watts)
Quadro P1000,40.0
Quadro P2000,50.0
Quadro P3000,75.0
Quadro P4000,100.0
Quadro P4000 Max-Q,80.0
Quadro P5000,100.0
Quadro P3200,78.0
Quadro P4200,115.0
Quadro P5200,150.0
Quadro T1000,40.0
Quadro T2000,60.0
Quadro T2000 Max-Q,40.0
Quadro RTX 3000,60.0
Quadro RTX 3000 Max-Q,60.0
Quadro RTX 4000,110.0
Quadro RTX 4000 Max-Q,80.0
Quadro RTX 5000,110.0
Quadro RTX 5000 Max-Q,80.0
RTX A500,60.0
RTX A1000,95.0
RTX A1000 6GB,95.0
RTX A2000,95.0
RTX A2000 8GB,95.0
RTX A3000,130.0
RTX A3000 12GB,130.0
RTX A4000,140.0
RTX A4500,140.0
RTX A5000,165.0
RTX A5500,165.0
RTX 2000 Ada Generation,35.0
RTX 3000 Ada Generation,35.0
RTX 3500 Ada Generation,60.0
RTX 4000 Ada Generation,60.0
RTX 5000 Ada Generation,60.0
Quadro NVS 110M,10.0
Quadro NVS 120M,10.0
Quadro NVS 130M,10.0
Quadro NVS 135M,10.0
Quadro NVS 140M,10.0
Quadro NVS 150M,10.0
Quadro NVS 160M,12.0
Quadro NVS 300M,16.0
Quadro NVS 320M,20.0
Quadro NVS 510M,45.0
NVS 2100M,14.0
NVS 3100M,14.0
NVS 5100M,35.0
NVS 5200M,35.0
NVS 5400M,35.0
GRID K1,130.0
GRID K2,225.0
GRID K340,225.0
GRID K520,225.0
C870 GPU Computing Module,170.0
D870 Deskside Computer,520.0
C1060 GPU Computing Module,187.0
"S1070 GPU Computing Server ""400 configuration""",800.0
"S1070 GPU Computing Server ""500 configuration""",800.0
Quadro Plex 2200 S4 Visual Computing System,1200.0
C2050 GPU Computing Module,247.0
M2050 GPU Computing Module,225.0
C2070 GPU Computing Module,247.0
C2075 GPU Computing Module,225.0
M2070/M2070Q GPU Computing Module,225.0
M2090 GPU Computing Module,225.0
S2050 GPU Computing Server,900.0
S2070 GPU Computing Server,900.0
K10 GPU accelerator,225.0
K20 GPU accelerator,225.0
K20X GPU accelerator,235.0
K40 GPU accelerator,235.0
K80 GPU accelerator,300.0
M4 GPU accelerator,50.0
M6 GPU accelerator,75.0
M10 GPU accelerator,225.0
M40 GPU accelerator,250.0
M60 GPU accelerator,225.0
P4 GPU accelerator,50.0
P6 GPU accelerator,90.0
P40 GPU accelerator,250.0
P100 GPU accelerator (mezzanine),300.0
P100 GPU accelerator (16 GB card),250.0
P100 GPU accelerator (12 GB card),250.0
V100 GPU accelerator (mezzanine),300.0
V100 GPU accelerator (PCIe card),250.0
V100 GPU accelerator (PCIe FHHL card),250.0
T4 GPU accelerator (PCIe card),70.0
A2 GPU accelerator (PCIe card),40.0
A10 GPU accelerator (PCIe card),150.0
A16 GPU accelerator (PCIe card),250.0
A30 GPU accelerator (PCIe card),165.0
A40 GPU accelerator (PCIe card),300.0
A100 GPU accelerator (PCIe card),250.0
H100 GPU accelerator (PCIe card),350.0
H100 GPU accelerator (SXM card),700.0
GH200 Superchip (SXM card),450.0
L40 GPU accelerator,300.0
L4 GPU accelerator,72.0
XGPU (Xbox) ,
RSX (PS3) ,
NX-SoC (Nintendo Switch) ,
NX-SoC (Nintendo Switch) ,
Maybe custom Orin,
